id	facility_id	date	description	order	created_at	updated_at
1	13	2024-01-18 15:00:00.000000 +00:00	出荷前立ち合い	1	2024-01-21 12:35:19.824458 +00:00	1705840519
2	13	2024-01-25 15:00:00.000000 +00:00	出荷日	2	2024-01-21 12:35:30.960327 +00:00	1705840530
3	34	2024-01-29 15:00:00.000000 +00:00	テスト	1	2024-01-29 04:26:25.500462 +00:00	1706502385
4	14	2024-02-20 15:00:00.000000 +00:00	社内お披露目 14:00～14:30	1	2024-02-16 03:58:02.692228 +00:00	1708414516
8	15	2024-03-17 15:00:00.000000 +00:00	客先立会（中間）	1	2024-03-01 23:54:22.065949 +00:00	1709337262
11	18	2024-03-11 15:00:00.000000 +00:00	説明会(組み立て前) 10：00～	1	2024-03-05 05:37:49.172029 +00:00	1709617069
9	26	2024-03-10 15:00:00.000000 +00:00	説明会 9：00～	1	2024-03-05 04:06:56.797981 +00:00	1709617191
12	45	2024-03-30 15:00:00.000000 +00:00	受注予定	1	2024-03-07 04:29:30.152027 +00:00	1709785770
14	29	2024-05-16 15:00:00.000000 +00:00	客先希望 メカ調/自動運転まで	1	2024-03-10 23:19:52.862983 +00:00	1710112792
15	33	2024-06-16 15:00:00.000000 +00:00	客先希望 メカ調/自動運転まで	1	2024-03-10 23:22:16.689485 +00:00	1710112936
13	26	2024-04-11 15:00:00.000000 +00:00	客先希望 I/Oチェックまで	2	2024-03-10 23:17:46.957809 +00:00	1710131271
16	16	2024-04-29 15:00:00.000000 +00:00	出荷前立会 4/30 13:00～	1	2024-03-19 04:24:27.163991 +00:00	1711431775
17	5	2024-04-04 15:00:00.000000 +00:00	後藤様来社 画像セットアップ	1	2024-04-01 02:59:54.722481 +00:00	1711940394
10	11	2024-04-10 15:00:00.000000 +00:00	来客 流動確認4/11、12、17、18、24、25、26	1	2024-03-05 04:12:34.385734 +00:00	1712624751
18	15	2024-04-23 15:00:00.000000 +00:00	最終立会い	2	2024-04-19 10:16:51.913768 +00:00	1713521811
