id	name	facility_id	order	created_at	updated_at
1	ユニット１	1	1	2023-11-23 03:44:37.469200 +00:00	1700711077
2	ユニット１	2	1	2023-11-23 03:53:40.904101 +00:00	1700711620
3	ユニット１のコピー	3	1	2023-11-23 04:04:08.493059 +00:00	1700712248
4	Grow-2nd	13	1	2023-11-24 02:42:01.502771 +00:00	1700793721
5	メイン	14	1	2023-11-24 02:49:26.684061 +00:00	1700794166
6	上流	14	2	2023-11-24 02:49:34.006955 +00:00	1700794174
7	下流	14	3	2023-11-24 02:49:39.420238 +00:00	1700794179
8	全体	14	4	2023-11-24 02:49:46.747098 +00:00	1700794186
9	USW貼り付け装置　#1	4	1	2023-11-24 02:50:02.798456 +00:00	1700794380
10	USW貼付け装置　#2	5	1	2023-11-24 02:55:58.149012 +00:00	1700794558
11	本体	15	1	2023-11-24 02:58:58.785189 +00:00	1700794738
12	カバーブロック組立機　#1	6	1	2023-11-24 02:59:23.211334 +00:00	1700794811
13	カバーブロック組立機　#2	7	1	2023-11-24 04:39:31.405559 +00:00	1700800882
14	カバーブロック組立機　#3	8	1	2023-11-24 04:44:13.839177 +00:00	1700801053
15	ケースブロック組立機　#1	9	1	2023-11-24 04:48:45.201584 +00:00	1700801325
16	スマホ操作装置2台	10	1	2023-11-24 04:59:21.144104 +00:00	1700801961
18	組込単品　無錫アルプス向け	12	1	2023-11-24 05:13:12.901214 +00:00	1700802792
19	Grow-HU	16	1	2023-11-24 05:23:44.087267 +00:00	1700803424
20	GF塗布検査装置改造#1(ﾏﾚｰｼｱ)	17	1	2023-11-24 05:36:21.203046 +00:00	1700804181
21	本体	18	1	2023-11-24 05:46:57.760254 +00:00	1700804817
22	line1 2台	19	1	2023-11-24 05:49:32.251683 +00:00	1700804972
23	line2 2台	19	2	2023-11-24 05:49:37.095996 +00:00	1700804977
24	USW貼り付け装置　#1のコピー	20	1	2023-11-24 05:59:40.090538 +00:00	1700805580
25	USW貼り付け装置　#1のコピー	21	1	2023-11-29 02:32:50.511803 +00:00	1701225170
26	本体	22	1	2023-12-15 01:36:22.292975 +00:00	1702604182
69	本体	56	1	2024-04-05 04:08:43.214000 +00:00	1712290123
70	MAIN-P	57	1	2024-04-05 04:13:20.855517 +00:00	1712290578
27	平坦度測定装置 ワーク投入テスト	23	0	2023-12-18 01:41:14.477381 +00:00	1702870118
28	Facilea 画像プログラムテスト	23	1	2023-12-18 03:17:30.019911 +00:00	1702870118
29	本体	24	1	2023-12-22 00:02:37.159551 +00:00	1703203357
30	カバーブロック組立機　#1のコピー	25	1	2023-12-22 00:18:11.340657 +00:00	1703204291
35	ｱﾙﾄﾛﾝ	28	0	2023-12-23 02:05:51.311138 +00:00	1703297155
33	本体	28	1	2023-12-23 02:02:13.370820 +00:00	1703297155
34	ｱﾙﾄﾛﾝ	27	0	2023-12-23 02:04:20.311928 +00:00	1703297172
32	本体	27	1	2023-12-23 02:01:28.462161 +00:00	1703297172
36	本体	29	1	2023-12-26 00:24:47.470600 +00:00	1703550287
31	カバーAブロック組立機　#1	26	1	2023-12-22 00:20:08.600310 +00:00	1705465148
37	本体	31	1	2024-01-23 00:28:28.050642 +00:00	1705969708
38	カバーブロック組立機　#2のコピー	32	1	2024-01-24 00:21:57.994196 +00:00	1706055717
39	本体のコピー	33	1	2024-01-24 00:26:49.227285 +00:00	1706056009
40	本体	34	1	2024-01-24 00:31:35.629693 +00:00	1706056295
17	1台目	11	1	2023-11-24 05:01:37.743137 +00:00	1706057352
41	2台目	11	2	2024-01-24 00:49:22.473156 +00:00	1706057362
42	本体	35	1	2024-02-07 08:11:26.579344 +00:00	1707293486
43	本体のコピー	36	1	2024-02-07 08:40:08.535343 +00:00	1707295208
44	本体	37	1	2024-02-12 14:30:36.729226 +00:00	1707748236
45	本体	38	1	2024-02-12 14:32:25.275865 +00:00	1707748345
46	本体	39	1	2024-02-19 02:42:54.569256 +00:00	1708310574
48	自動化改造	41	1	2024-02-25 23:25:42.314655 +00:00	1708903597
49	兼用化改造	41	2	2024-02-25 23:26:46.777385 +00:00	1708903606
50	本体	41	3	2024-02-25 23:34:42.889112 +00:00	1708904082
47	組立工程	40	1	2024-02-19 02:44:23.105153 +00:00	1709622414
51	検査工程	40	2	2024-03-05 07:06:43.912762 +00:00	1709622421
52	基板分割	40	3	2024-03-05 07:07:08.444898 +00:00	1709622428
53	本体	42	1	2024-03-05 07:32:59.184702 +00:00	1709623979
54	本体	43	1	2024-03-05 08:40:57.188617 +00:00	1709628057
55	組立ライン	44	1	2024-03-07 04:03:36.620974 +00:00	1709785018
56	電検ライン	44	2	2024-03-07 04:17:11.886145 +00:00	1709785031
57	本体	45	1	2024-03-07 04:28:15.794719 +00:00	1709785931
58	本体のコピー	46	1	2024-03-07 07:04:31.655266 +00:00	1709795071
59	本体	47	1	2024-03-07 08:37:27.123671 +00:00	1709800952
60	組立ラインのコピー	48	1	2024-03-08 09:48:05.338976 +00:00	1709891285
61	電検ラインのコピー	48	2	2024-03-08 09:48:05.342047 +00:00	1709891285
62	本体	49	1	2024-03-11 08:25:08.676642 +00:00	1710237296
63	本体	50	1	2024-03-15 00:16:18.222384 +00:00	1710461778
64	本体	51	1	2024-03-25 07:56:42.461847 +00:00	1711353402
65	本体	52	1	2024-03-25 08:05:30.715744 +00:00	1711354222
66	本体	53	1	2024-03-25 08:32:40.949637 +00:00	1711355707
67	本体	54	1	2024-03-25 09:17:30.888156 +00:00	1711358439
68	本体	55	1	2024-03-28 00:20:35.720812 +00:00	1711585235
