1	2	2	1	8	2023-09-27 06:29:22.369089 +00:00	1695796162
2	2	2	2	8	2023-09-27 06:29:22.371487 +00:00	1695796162
3	2	2	3	10	2023-09-27 06:29:22.372636 +00:00	1695796162
4	2	2	4	8	2023-09-27 06:29:22.373748 +00:00	1695796162
5	2	2	5	8	2023-09-27 06:29:22.374830 +00:00	1695796162
6	2	2	6	8	2023-09-27 06:29:22.375946 +00:00	1695796162
7	2	2	7	8	2023-09-27 06:29:22.377049 +00:00	1695796162
8	2	2	8	8	2023-09-27 06:29:22.378513 +00:00	1695796162
9	2	2	9	8	2023-09-27 06:29:22.379870 +00:00	1695796162
10	2	3	1	8	2023-09-27 06:29:22.381289 +00:00	1695796162
11	2	3	2	8	2023-09-27 06:29:22.382512 +00:00	1695796162
12	2	3	3	8	2023-09-27 06:29:22.383853 +00:00	1695796162
13	2	3	4	8	2023-09-27 06:29:22.385219 +00:00	1695796162
14	2	3	5	8	2023-09-27 06:29:22.386344 +00:00	1695796162
15	2	3	6	8	2023-09-27 06:29:22.387636 +00:00	1695796162
16	2	3	7	8	2023-09-27 06:29:22.388981 +00:00	1695796162
17	2	3	8	8	2023-09-27 06:29:22.390285 +00:00	1695796162
18	2	3	9	8	2023-09-27 06:29:22.391654 +00:00	1695796162
50	3	7	5	8	2023-10-01 05:35:41.353374 +00:00	1699337623
51	3	7	6	8	2023-10-01 05:35:41.354827 +00:00	1699337623
52	3	7	7	8	2023-10-01 05:35:41.356145 +00:00	1699337623
26	3	4	8	8	2023-10-01 05:35:41.318528 +00:00	1699337623
27	3	4	9	8	2023-10-01 05:35:41.319904 +00:00	1699337623
28	3	5	1	8	2023-10-01 05:35:41.321200 +00:00	1699337623
53	3	7	8	8	2023-10-01 05:35:41.362517 +00:00	1699337623
54	3	7	9	8	2023-10-01 05:35:41.364295 +00:00	1699337623
55	3	13	1	8	2023-10-04 05:05:44.239219 +00:00	1699337623
56	3	13	2	10	2023-10-04 05:05:44.241220 +00:00	1699337623
57	3	13	3	8	2023-10-04 05:05:44.243137 +00:00	1699337623
58	3	13	4	8	2023-10-04 05:05:44.244902 +00:00	1699337623
74	6	15	2	8	2023-10-06 06:17:51.409884 +00:00	1697163211
75	6	15	3	14	2023-10-06 06:17:51.411783 +00:00	1697163211
29	3	5	2	8	2023-10-01 05:35:41.322702 +00:00	1699337623
30	3	5	3	8	2023-10-01 05:35:41.324221 +00:00	1699337623
31	3	5	4	8	2023-10-01 05:35:41.325792 +00:00	1699337623
32	3	5	5	8	2023-10-01 05:35:41.327301 +00:00	1699337623
33	3	5	6	8	2023-10-01 05:35:41.328632 +00:00	1699337623
34	3	5	7	8	2023-10-01 05:35:41.330147 +00:00	1699337623
59	3	13	5	8	2023-10-04 05:05:44.246516 +00:00	1699337623
60	3	13	6	8	2023-10-04 05:05:44.248264 +00:00	1699337623
61	3	13	7	8	2023-10-04 05:05:44.249908 +00:00	1699337623
62	3	13	8	8	2023-10-04 05:05:44.251674 +00:00	1699337623
63	3	13	9	8	2023-10-04 05:05:44.253135 +00:00	1699337623
82	8	18	1	8	2023-11-23 03:08:42.041078 +00:00	1700708922
83	8	18	2	8	2023-11-23 03:08:42.045160 +00:00	1700708922
84	8	18	3	8	2023-11-23 03:08:42.047187 +00:00	1700708922
85	8	18	4	8	2023-11-23 03:08:42.049152 +00:00	1700708922
86	8	18	5	8	2023-11-23 03:08:42.051040 +00:00	1700708922
87	8	18	6	8	2023-11-23 03:08:42.052800 +00:00	1700708922
88	8	18	7	8	2023-11-23 03:08:42.054684 +00:00	1700708922
89	8	18	8	8	2023-11-23 03:08:42.056945 +00:00	1700708922
90	8	18	9	8	2023-11-23 03:08:42.059620 +00:00	1700708922
76	6	15	4	8	2023-10-06 06:17:51.413402 +00:00	1697163211
77	6	15	5	8	2023-10-06 06:17:51.415220 +00:00	1697163211
78	6	15	6	8	2023-10-06 06:17:51.416663 +00:00	1697163211
79	6	15	7	8	2023-10-06 06:17:51.418068 +00:00	1697163211
80	6	15	8	8	2023-10-06 06:17:51.420244 +00:00	1697163211
81	6	15	9	8	2023-10-06 06:17:51.422083 +00:00	1697163211
35	3	5	8	8	2023-10-01 05:35:41.331511 +00:00	1699337623
36	3	5	9	8	2023-10-01 05:35:41.332870 +00:00	1699337623
37	3	6	1	8	2023-10-01 05:35:41.334229 +00:00	1699337623
38	3	6	2	8	2023-10-01 05:35:41.335472 +00:00	1699337623
39	3	6	3	8	2023-10-01 05:35:41.336877 +00:00	1699337623
40	3	6	4	8	2023-10-01 05:35:41.338323 +00:00	1699337623
41	3	6	5	8	2023-10-01 05:35:41.340162 +00:00	1699337623
64	6	14	1	8	2023-10-06 06:17:51.392457 +00:00	1697163211
65	6	14	2	8	2023-10-06 06:17:51.394590 +00:00	1697163211
66	6	14	3	8	2023-10-06 06:17:51.396112 +00:00	1697163211
67	6	14	4	8	2023-10-06 06:17:51.397519 +00:00	1697163211
68	6	14	5	10	2023-10-06 06:17:51.399461 +00:00	1697163211
69	6	14	6	10	2023-10-06 06:17:51.401648 +00:00	1697163211
70	6	14	7	10	2023-10-06 06:17:51.403240 +00:00	1697163211
71	6	14	8	10	2023-10-06 06:17:51.404740 +00:00	1697163211
72	6	14	9	8	2023-10-06 06:17:51.406344 +00:00	1697163211
42	3	6	6	8	2023-10-01 05:35:41.341747 +00:00	1699337623
73	6	15	1	8	2023-10-06 06:17:51.407848 +00:00	1697163211
19	3	4	1	10	2023-10-01 05:35:41.308393 +00:00	1699337623
20	3	4	2	8	2023-10-01 05:35:41.310129 +00:00	1699337623
21	3	4	3	10	2023-10-01 05:35:41.311359 +00:00	1699337623
22	3	4	4	10	2023-10-01 05:35:41.312808 +00:00	1699337623
23	3	4	5	12	2023-10-01 05:35:41.314327 +00:00	1699337623
24	3	4	6	12	2023-10-01 05:35:41.315888 +00:00	1699337623
25	3	4	7	8	2023-10-01 05:35:41.317228 +00:00	1699337623
43	3	6	7	8	2023-10-01 05:35:41.343268 +00:00	1699337623
44	3	6	8	8	2023-10-01 05:35:41.344865 +00:00	1699337623
45	3	6	9	8	2023-10-01 05:35:41.346382 +00:00	1699337623
46	3	7	1	8	2023-10-01 05:35:41.347663 +00:00	1699337623
47	3	7	2	8	2023-10-01 05:35:41.349102 +00:00	1699337623
48	3	7	3	8	2023-10-01 05:35:41.350619 +00:00	1699337623
49	3	7	4	8	2023-10-01 05:35:41.352000 +00:00	1699337623
91	9	19	1	8	2023-11-23 04:01:58.214142 +00:00	1700712118
92	9	19	2	8	2023-11-23 04:01:58.216558 +00:00	1700712118
93	9	19	3	8	2023-11-23 04:01:58.218470 +00:00	1700712118
94	9	19	4	8	2023-11-23 04:01:58.220203 +00:00	1700712118
95	9	19	5	8	2023-11-23 04:01:58.221705 +00:00	1700712118
96	9	19	6	8	2023-11-23 04:01:58.223465 +00:00	1700712118
97	9	19	7	8	2023-11-23 04:01:58.225430 +00:00	1700712118
98	9	19	8	8	2023-11-23 04:01:58.227045 +00:00	1700712118
99	9	19	9	8	2023-11-23 04:01:58.228590 +00:00	1700712118
100	10	20	1	8	2023-11-23 04:02:17.409725 +00:00	1700712137
101	10	20	2	8	2023-11-23 04:02:17.411507 +00:00	1700712137
102	10	20	3	10	2023-11-23 04:02:17.413228 +00:00	1700712137
103	10	20	4	8	2023-11-23 04:02:17.414746 +00:00	1700712137
104	10	20	5	8	2023-11-23 04:02:17.416468 +00:00	1700712137
105	10	20	6	8	2023-11-23 04:02:17.418624 +00:00	1700712137
106	10	20	7	8	2023-11-23 04:02:17.422588 +00:00	1700712137
107	10	20	8	8	2023-11-23 04:02:17.424607 +00:00	1700712137
108	10	20	9	8	2023-11-23 04:02:17.426524 +00:00	1700712137
109	10	21	1	8	2023-11-23 04:02:17.428235 +00:00	1700712137
110	10	21	2	8	2023-11-23 04:02:17.429929 +00:00	1700712137
111	10	21	3	8	2023-11-23 04:02:17.431638 +00:00	1700712137
112	10	21	4	8	2023-11-23 04:02:17.433197 +00:00	1700712137
113	10	21	5	8	2023-11-23 04:02:17.434650 +00:00	1700712137
114	10	21	6	8	2023-11-23 04:02:17.436152 +00:00	1700712137
115	10	21	7	8	2023-11-23 04:02:17.438172 +00:00	1700712137
116	10	21	8	8	2023-11-23 04:02:17.440241 +00:00	1700712137
117	10	21	9	8	2023-11-23 04:02:17.443150 +00:00	1700712137
