id	name	term_from	term_to	order	created_at	updated_at	status	type
13	PEA:平坦度測定装置_Grow-2nd	2023-07-03 15:00:00.000000 +00:00	2024-02-01 15:00:00.000000 +00:00	10	2023-11-24 02:35:48.267752 +00:00	1700793348	Enabled	Ordered
19	IAA:基板分割機DCSD	2023-11-12 15:00:00.000000 +00:00	2024-02-12 15:00:00.000000 +00:00	16	2023-11-24 02:41:18.410119 +00:00	1700793678	Enabled	Ordered
17	TDT:熱伝導性GF塗布検査装置改造	2023-12-20 15:00:00.000000 +00:00	2024-05-20 15:00:00.000000 +00:00	14	2023-11-24 02:39:53.766497 +00:00	1700793593	Enabled	Ordered
12	GU手組治具(無錫アルプス向け)	2023-10-31 15:00:00.000000 +00:00	2023-11-29 15:00:00.000000 +00:00	9	2023-11-24 02:29:03.469793 +00:00	1700792943	Enabled	Ordered
14	SEC:ラベル貼り付け機	2023-10-22 15:00:00.000000 +00:00	2024-01-29 15:00:00.000000 +00:00	11	2023-11-24 02:36:31.204947 +00:00	1700793391	Enabled	Ordered
16	PEA:平坦度測定装置_Grow-HU	2023-08-31 15:00:00.000000 +00:00	2024-05-16 15:00:00.000000 +00:00	13	2023-11-24 02:37:23.016478 +00:00	1700793443	Enabled	Ordered
18	JID:振り分けコンベア	2023-10-22 15:00:00.000000 +00:00	2024-05-21 15:00:00.000000 +00:00	15	2023-11-24 02:40:44.984769 +00:00	1700793644	Enabled	Ordered
9	ケースブロック組立機　#1	2023-11-15 15:00:00.000000 +00:00	2024-02-06 15:00:00.000000 +00:00	6	2023-11-24 02:26:20.919309 +00:00	1700792780	Enabled	Ordered
11	採便管仕分け機	2023-10-15 15:00:00.000000 +00:00	2024-04-29 15:00:00.000000 +00:00	8	2023-11-24 02:27:58.387312 +00:00	1700792878	Enabled	Ordered
8	カバーブロック組立機　#3	2023-11-15 15:00:00.000000 +00:00	2023-12-27 15:00:00.000000 +00:00	5	2023-11-24 02:25:41.315104 +00:00	1700792741	Enabled	Ordered
10	スマホ操作装置2台	2023-09-28 15:00:00.000000 +00:00	2023-11-28 15:00:00.000000 +00:00	7	2023-11-24 02:27:06.244248 +00:00	1700792826	Enabled	Ordered
6	カバーブロック組立機　#1	2023-10-10 15:00:00.000000 +00:00	2023-11-29 15:00:00.000000 +00:00	3	2023-11-24 02:24:42.678749 +00:00	1700794785	Enabled	Ordered
7	カバーブロック組立機　#2	2023-10-12 15:00:00.000000 +00:00	2023-12-07 15:00:00.000000 +00:00	4	2023-11-24 02:25:11.342671 +00:00	1700792711	Enabled	Ordered
5	USW貼付装置　#2	2023-10-10 15:00:00.000000 +00:00	2023-12-14 15:00:00.000000 +00:00	2	2023-11-24 02:24:08.253547 +00:00	1700794618	Enabled	Ordered
15	MTT:幾何ｷｬﾘﾌﾞﾚｰｼｮﾝ装置	2023-07-02 15:00:00.000000 +00:00	2024-04-29 15:00:00.000000 +00:00	12	2023-11-24 02:36:56.961900 +00:00	1700793416	Enabled	Ordered
4	USW貼付装置　#1	2023-10-12 15:00:00.000000 +00:00	2023-11-29 15:00:00.000000 +00:00	1	2023-11-24 02:23:32.730832 +00:00	1700792612	Enabled	Ordered
22	802ライン	2024-04-30 15:00:00.000000 +00:00	2026-01-30 15:00:00.000000 +00:00	17	2023-12-15 01:36:03.699978 +00:00	1702604163	Enabled	Prepared
23	JAKA社内デモ機	2023-11-19 15:00:00.000000 +00:00	2024-02-28 15:00:00.000000 +00:00	18	2023-12-18 01:31:54.671950 +00:00	1702863114	Enabled	Ordered
