id	name	order	created_at	updated_at	color
19	出荷前検査	20	2023-11-23 03:48:24.354167 +00:00	1700804354	rgb(66, 165, 246)
3	IOふり	8	2023-11-23 03:47:20.168241 +00:00	1700804353	rgb(66, 165, 246)
16	加工品	5	2023-11-23 03:48:14.997767 +00:00	1700804353	rgb(66, 165, 246)
4	機体配線	9	2023-11-23 03:47:23.264955 +00:00	1700804353	rgb(66, 165, 246)
18	現地作業	17	2023-11-23 03:48:21.206478 +00:00	1700804354	rgb(66, 165, 246)
23	組立アルトロン	23	2023-11-24 04:52:02.265066 +00:00	1700801522	rgb(66, 165, 246)
11	メカ設計	0	2023-11-23 03:47:57.867335 +00:00	1700804352	rgb(66, 165, 246)
20	流動確認	21	2023-11-24 02:45:59.472398 +00:00	1700804354	rgb(66, 165, 246)
13	ソフト設計	2	2023-11-23 03:48:03.879263 +00:00	1700804353	rgb(66, 165, 246)
15	エレキ購入品	4	2023-11-23 03:48:10.429913 +00:00	1700804353	rgb(66, 165, 246)
9	梱包出荷	13	2023-11-23 03:47:49.530759 +00:00	1700804353	rgb(66, 165, 246)
10	完成度チェック	15	2023-11-23 03:47:53.627564 +00:00	1700804354	rgb(66, 165, 246)
8	デバッグ	12	2023-11-23 03:47:43.387498 +00:00	1700804353	rgb(66, 165, 246)
22	現地立上	18	2023-11-24 02:55:12.552449 +00:00	1700804354	rgb(66, 165, 246)
12	ハード設計	1	2023-11-23 03:48:00.950024 +00:00	1700804352	rgb(66, 165, 246)
25	現地組立	25	2023-11-24 05:42:06.783057 +00:00	1700804526	rgb(66, 165, 246)
6	手動立上げ	14	2023-11-23 03:47:36.570354 +00:00	1700804353	rgb(66, 165, 246)
21	連結	19	2023-11-24 02:52:38.753904 +00:00	1700804354	rgb(66, 165, 246)
14	メカ購入品	3	2023-11-23 03:48:07.472801 +00:00	1700804353	rgb(66, 165, 246)
2	盤製作	6	2023-11-23 03:47:16.105549 +00:00	1700804353	rgb(66, 165, 246)
1	組立	7	2023-11-23 03:47:12.773293 +00:00	1700804353	rgb(66, 165, 246)
17	最終立ち合い	16	2023-11-23 03:48:18.531657 +00:00	1700804354	rgb(66, 165, 246)
5	IOチェック	10	2023-11-23 03:47:26.684446 +00:00	1700804353	rgb(66, 165, 246)
26	完成度/出荷前検査	26	2023-11-24 05:51:06.087101 +00:00	1700805066	rgb(66, 165, 246)
24	社内組立	24	2023-11-24 05:40:53.241062 +00:00	1700804453	rgb(66, 165, 246)
7	メカ調整	11	2023-11-23 03:47:40.109816 +00:00	1700804353	rgb(66, 165, 246)
